브랜드,상품명,가격,리뷰수,상품평점,닉네임,리뷰,별점,날짜,맞춤정보,선택옵션,한줄평,스타일최고,구매욕상승,궁금증해소
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ar**,"사놓고 맨날 교복처럼 입은 초록이...다른 사진도 많지만 다 얼굴이 대빵이라서 아우터랑 같이 입고 올립니다. 진짜 편하고 사진과 같은 핏이에요!! 초봄에는 흰티랑, 최근 비오기 전까지는 나시랑 입고 신나게 돌아댕겼습니다^^7",5,23.05.07,162cm·62kg·상의 66,그린FREE,"사이즈 ""정사이즈예요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ki**,"색깔은 완전 깜장색이고
162 기준 딱 골반 위까지 오는 것 같아요
크롭나시랑 입으려고 샀는데 너무너무 잘 어울리네요
지금 입기에는 좀 추운데 날씨 풀리고 입으면 좋을 것 같아요 색깔 다른 것도 사규 싳어요",5,23.04.07,162cm·60kg·상의 77,블랙FREE,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,wk**,어떤 유튜버가 입으신거 보고 반신반의하며 삿는데 진짜 개개개만족 솔직히 아방한 핏이 날씬하신 분들이 입으시면 딱 이쁘잖아여.. 툰퉁이분들은 무슨 말인지 아실듯.. 한 덩치 잇는 제가 입어보고 만족햇으면 말 다한거라고 생각해용ㅎㅎ 다들 빨리 사셔유!!!! 색상은 제가 찍은 사진이랑 똑같아옹 왕만족 !,5,23.04.06,164cm·69kg·상의 77,그린FREE,"사이즈 ""생각보다 커요""퀄리티 ""아주 만족해요""색감 ""화면보다 어두워요""",0,1,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ky**,"충동적으로 구매했는데 생각보다 더 예뻐서 만족해요!! 치마랑 입어도 귀엽고 바지랑 입어도 좋아요!! 
화면에선 약간 딥한 그린 같은데 실물은 그거보단 약간 밝은 느낌,,? 그래도 비슷해요 예뻐요",5,23.04.02,130cm 이하·30kg 이하·상의 33 이하,그린FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,또비또비얌,"일단 옷 자체가 되게 얇아요. 막 찢어질 것 같고 아슬아슬하고 그런건 아닌데.. 좀 탄탄한 재질을 생각하고 구매하시면 안될것 같아요! 딱 이 가격대에 맞는 재질이고 봄, 여름에 잘 입고 다닐 것 같습니다!",4,23.03.25,155cm·41kg·상의 44,멜란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ja**,와 이건 진짜 ㄹㅇ 개이뻐요 받자마자 너무 이쁘다는 생각밖에 안했습니다 자크가 위아래있어서 허리 부각도 잘되고 너무 만족해요 돈생기면 여러벌  챙기고싶은 ㅠㅠㅠ 나머지 색도 꼭 살거에요,5,23.03.24,,오트밀FREE,"사이즈 ""정사이즈예요""퀄리티 ""아주 만족해요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,mi**,"키가 큰편인데도 생각보다는 크롭은 아니에요.
품이 더 클줄 알았는데 적당합니다.
지하상가에서 다른 옷 입어봤을 땐 팔 품이 더 커서 비슷할 줄 알았는데 팔 품도 적당합니다
지금 거의 교복템임",5,23.03.07,170cm·60kg·상의 55,블랙FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,dl**,후드는 많이 얇은편이라 환절기에 하나만 입고 나가시면 저녁엔 추울수 있을것 같아요 제가 키가 커서 상체가 좀 있는편인데도 많이 넉넉했습니다. 기장은 배꼽 바로 밑까지 정도에요. 편하게 입고 나갈때 좋을듯!,5,23.03.04,175cm·66kg·상의 55,멜란지FREE,"사이즈 ""생각보다 커요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,ps**,애초에 상의로 입을 생각이라 얇은 걸 원했어서 좋았지만 흔히 생각하는 후드집업 두께는 아니라서 그 점은 참고하셔야할 것 같습니다 그것 외에는 기장도 적당히 짧고 너무 예뻐요... 투웨이는 진리다,5,23.02.25,158cm·47kg·상의 55,그린FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,0,0
베이델리,[6color/꾸안꾸]아방 투웨이 후드집업,"23,570원","1,790",4.7,메타메타몽,예뻐용 55-66도 넉넉하게 입을 수 있어요~! 어깨선은 오버오버라인이라 어깨는 좀 넓어보일 순 있어요ㅌㅌㅌㅋㅌㅌㅋ근데 그래서 허리가 좀 더 얇아보이는 갓 같기두..? 골반이 있는 분들은 라인 예뻐보여용~~,4,23.02.11,166cm·60kg·상의 66,(기모)메란지FREE,"사이즈 ""정사이즈예요""퀄리티 ""보통이에요""색감 ""화면과 비슷해요""",0,1,0
