iter	Logloss
0	0.682389212
1	0.6722081676
2	0.6632504412
3	0.6545320416
4	0.6458372954
5	0.637457947
6	0.6301910192
7	0.6222286354
8	0.615562075
9	0.6077237821
10	0.6014979584
11	0.5943957722
12	0.5880665988
13	0.5817239942
14	0.5766687142
15	0.571282644
16	0.5654358683
17	0.5598650285
18	0.5554295496
19	0.5506510971
20	0.5463274665
21	0.5421420713
22	0.5373575569
23	0.5333758896
24	0.5296053195
25	0.525455642
26	0.5222499591
27	0.5190389869
28	0.5157607393
29	0.5125796607
30	0.5088849834
31	0.5057665445
32	0.5030143166
33	0.4998176671
34	0.4966743566
35	0.4941824938
36	0.4913171993
37	0.4890233591
38	0.4865523861
39	0.4843817751
40	0.4819966495
41	0.4798780699
42	0.4777663843
43	0.4758203018
44	0.4738476242
45	0.4716654836
46	0.4700103433
47	0.4683637015
48	0.4663492739
49	0.4644122249
50	0.4628752325
51	0.4614264647
52	0.4601828511
53	0.458867594
54	0.4575181049
55	0.4563112194
56	0.4546750671
57	0.4532129572
58	0.4519514847
59	0.450807863
60	0.4497249198
61	0.4485472147
62	0.4474909261
63	0.4464356479
64	0.4454258935
65	0.4444687945
66	0.4435794463
67	0.4426511414
68	0.4415950014
69	0.4406916573
70	0.4399778966
71	0.439211005
72	0.4383505103
73	0.4377324031
74	0.4369522882
75	0.4362411425
76	0.4355663088
77	0.4348193264
78	0.4342982395
79	0.4336922858
80	0.4327984506
81	0.4322881504
82	0.431505896
83	0.4309960415
84	0.4302528626
85	0.429725595
86	0.428973353
87	0.4284475117
88	0.4276294801
89	0.4269787752
90	0.426404082
91	0.4259643555
92	0.4254594634
93	0.4248524102
94	0.4243723007
95	0.4239025023
96	0.4234783763
97	0.422879168
98	0.4224828258
99	0.4219236736
100	0.4214374724
101	0.4210293332
102	0.4205751651
103	0.4202006042
104	0.4196910171
105	0.4192911685
106	0.4187609293
107	0.4183269972
108	0.4179116373
109	0.4173696308
110	0.4169444648
111	0.4166057108
112	0.4161596549
113	0.4157765063
114	0.4153724381
115	0.4149878037
116	0.4145587747
117	0.4141680486
118	0.4136924855
119	0.4132863373
120	0.4129942956
121	0.4126102258
122	0.412278336
123	0.4120140484
124	0.4116073059
125	0.4112693244
126	0.4109141676
127	0.4105742249
128	0.4101870944
129	0.4099413492
130	0.409658965
131	0.4093236877
132	0.408955783
133	0.4087233204
134	0.4084209973
135	0.4081027468
136	0.4077619127
137	0.4074759924
138	0.4071590494
139	0.4069008238
140	0.4066168944
141	0.4063635717
142	0.4059853558
143	0.4057387191
144	0.4054854856
145	0.4052211089
146	0.4050013051
147	0.4046742886
148	0.4044430444
149	0.4041623837
150	0.4038308208
151	0.4035982691
152	0.4033630133
153	0.4031389899
154	0.4029294676
155	0.4026136538
156	0.4024198211
157	0.4021867643
158	0.4020059469
159	0.4017432045
160	0.4014304513
161	0.4012502282
162	0.4010300678
163	0.4008287469
164	0.4005006903
165	0.400326648
166	0.4001501691
167	0.4000145189
168	0.3997521034
169	0.3995791011
170	0.3993962333
171	0.399135571
172	0.3988912521
173	0.398727521
174	0.3985007935
175	0.3983416386
176	0.3980849878
177	0.3979092814
178	0.3977144979
179	0.3974993593
180	0.3972950075
181	0.3970578202
182	0.3968298744
183	0.3966432031
184	0.3964769165
185	0.3963050731
186	0.3961326354
187	0.395986258
188	0.3958140877
189	0.3955043952
190	0.3953229241
191	0.3950712952
192	0.3948870012
193	0.394636442
194	0.3944632615
195	0.3942331762
196	0.3940143827
197	0.3939145988
198	0.3937401108
199	0.3935596797
200	0.3934302994
201	0.393271917
202	0.3931598013
203	0.392947664
204	0.392765034
205	0.3925767581
206	0.3923834603
207	0.3922333685
208	0.3920886849
209	0.3919645642
210	0.3918147992
211	0.3916692242
212	0.3914516787
213	0.3912491989
214	0.3911059713
215	0.3909152884
216	0.3907640674
217	0.3906276149
218	0.3904478376
219	0.3903342064
220	0.3901502392
221	0.3900116472
222	0.3898575735
223	0.3897347603
224	0.3895463953
225	0.3894343687
226	0.3892954796
227	0.3891361463
228	0.388949267
229	0.3887758784
230	0.3886294416
231	0.3884959606
232	0.388354308
233	0.3881866841
234	0.3880148705
235	0.3879123528
236	0.3877435998
237	0.3876114857
238	0.3874576498
239	0.3873048539
240	0.3871489082
241	0.387039348
242	0.3869068773
243	0.3866691552
244	0.3865251253
245	0.3863867116
246	0.3861958802
247	0.3860822193
248	0.3859460045
249	0.3858332351
250	0.3856914933
251	0.3855094575
252	0.3853253715
253	0.3851903156
254	0.3850385894
255	0.3849104869
256	0.3847743019
257	0.3846469719
258	0.3845268034
259	0.3843593282
260	0.3842363367
261	0.3840537661
262	0.3838732161
263	0.3836843162
264	0.3835327386
265	0.3833903728
266	0.3831957675
267	0.3830216063
268	0.38295861
269	0.382791937
270	0.3826752452
271	0.3825299375
272	0.3824262015
273	0.3822968213
274	0.3821389441
275	0.3819975885
276	0.3818941794
277	0.3817615602
278	0.381641778
279	0.3814817315
280	0.3813927046
281	0.3812821044
282	0.3811036939
283	0.38096739
284	0.380834741
285	0.3807022407
286	0.3805764262
287	0.3804014033
288	0.3802667635
289	0.380097951
290	0.3799968597
291	0.3798762157
292	0.379699291
293	0.3795485158
294	0.3793976811
295	0.3793058015
296	0.3791829288
297	0.3790163748
298	0.3789404523
299	0.3787926188
300	0.3786461226
301	0.3784538054
302	0.3783075765
303	0.3781930836
304	0.3781185577
305	0.377997052
306	0.3778172152
307	0.3777079819
308	0.3775818406
309	0.3774874946
310	0.3773241498
311	0.37721872
312	0.3770785829
313	0.376875895
314	0.3767024767
315	0.376551018
316	0.3764503427
317	0.3763203681
318	0.3762260222
319	0.3761357769
320	0.3760295151
321	0.375931633
322	0.3758654868
323	0.3757856716
324	0.3756558159
325	0.3755437002
326	0.3754715218
327	0.3753564643
328	0.3752376924
329	0.3751519044
330	0.3749664812
331	0.3748696391
332	0.374803701
333	0.3747226971
334	0.3746307581
335	0.3744765359
336	0.3744043278
337	0.3742740561
338	0.374164585
339	0.3740483686
340	0.3738975339
341	0.3737859531
342	0.3736557408
343	0.3734990522
344	0.3734108573
345	0.3733021291
346	0.3731861207
347	0.3730266389
348	0.3729256367
349	0.3728192263
350	0.3726671733
351	0.3725815339
352	0.3724933985
353	0.3722000791
354	0.3721226411
355	0.3720189051
356	0.3719427151
357	0.3718524402
358	0.3717816584
359	0.3716959001
360	0.3715963837
361	0.3714880121
362	0.3713610685
363	0.3712601852
364	0.3711434042
365	0.3710296245
366	0.3709255319
367	0.3708000443
368	0.3706961003
369	0.3705458599
370	0.3704384987
371	0.3702734601
372	0.3701903465
373	0.3700788251
374	0.3699914325
375	0.3698708182
376	0.3696648914
377	0.3695249028
378	0.3694373914
379	0.3692891419
380	0.3691102857
381	0.3689906223
382	0.3688024058
