iter	Passed	Remaining
303	1618	3705
304	1622	3697
305	1626	3689
306	1632	3684
307	1637	3678
308	1642	3672
309	1647	3666
310	1651	3659
311	1655	3650
312	1660	3644
313	1664	3635
314	1668	3629
315	1672	3620
316	1676	3612
317	1681	3605
318	1686	3601
319	1691	3594
320	1696	3588
321	1701	3581
322	1705	3574
323	1708	3565
324	1712	3557
325	1716	3549
326	1720	3541
327	1724	3533
328	1728	3525
329	1732	3518
330	1736	3510
331	1741	3502
332	1745	3496
333	1750	3490
334	1754	3483
335	1759	3477
336	1764	3470
337	1768	3463
338	1771	3454
339	1775	3446
340	1779	3438
341	1783	3432
342	1788	3425
343	1792	3418
344	1797	3412
345	1801	3405
346	1806	3399
347	1812	3395
348	1817	3390
349	1823	3385
350	1827	3379
351	1832	3372
352	1837	3367
353	1842	3362
354	1848	3357
355	1853	3352
356	1859	3349
357	1864	3344
358	1870	3339
359	1875	3333
360	1879	3326
361	1883	3319
362	1887	3312
363	1891	3305
364	1896	3299
365	1902	3294
366	1906	3288
367	1912	3284
368	1918	3280
369	1923	3275
370	1929	3270
371	1933	3264
372	1938	3258
373	1943	3252
374	1947	3246
375	1952	3239
376	1956	3233
377	1961	3227
378	1965	3220
379	1970	3214
380	1974	3208
381	1979	3203
382	1984	3196
383	1988	3190
384	1995	3187
385	2000	3181
386	2004	3174
387	2008	3168
388	2012	3160
389	2016	3153
390	2021	3147
391	2025	3142
392	2031	3136
393	2035	3130
394	2040	3125
395	2044	3118
396	2048	3111
397	2052	3104
398	2056	3098
399	2060	3091
400	2064	3083
401	2067	3076
402	2072	3069
403	2076	3063
404	2081	3057
405	2085	3051
406	2091	3046
407	2096	3041
408	2100	3035
409	2105	3029
410	2110	3023
411	2114	3017
412	2117	3009
413	2122	3004
414	2125	2996
415	2129	2989
416	2133	2982
417	2137	2976
418	2142	2970
419	2146	2963
420	2151	2958
421	2156	2953
422	2160	2947
423	2165	2941
424	2170	2935
425	2173	2928
426	2177	2921
427	2181	2915
428	2184	2908
429	2189	2902
430	2193	2896
431	2198	2890
432	2203	2885
433	2208	2880
434	2212	2874
435	2216	2867
436	2220	2860
437	2223	2853
438	2228	2847
439	2232	2840
440	2236	2834
441	2240	2828
442	2244	2821
443	2248	2815
444	2253	2809
445	2257	2804
446	2262	2799
447	2267	2793
448	2272	2788
449	2276	2782
450	2280	2775
451	2284	2769
452	2288	2763
453	2291	2756
454	2295	2749
455	2299	2743
456	2303	2737
457	2308	2732
458	2313	2726
459	2319	2722
460	2324	2718
461	2330	2713
462	2337	2710
463	2341	2704
464	2345	2698
465	2351	2694
466	2356	2689
467	2362	2685
468	2368	2681
469	2373	2676
470	2379	2672
471	2385	2668
472	2389	2662
473	2394	2657
474	2399	2651
475	2403	2645
476	2407	2640
477	2413	2636
478	2419	2631
479	2424	2626
480	2430	2622
481	2435	2617
482	2441	2613
483	2447	2609
484	2451	2603
485	2456	2597
486	2461	2592
487	2465	2586
488	2470	2581
489	2474	2575
490	2480	2571
491	2485	2566
492	2491	2562
493	2496	2557
494	2501	2552
495	2506	2547
496	2511	2541
497	2516	2536
498	2520	2530
499	2525	2525
500	2531	2521
501	2537	2517
502	2544	2513
503	2548	2508
504	2553	2503
505	2559	2498
506	2563	2493
507	2568	2487
508	2573	2482
509	2578	2476
510	2582	2471
511	2587	2466
512	2593	2461
513	2598	2457
514	2604	2452
515	2610	2448
516	2615	2443
517	2620	2437
518	2625	2433
519	2631	2428
520	2636	2423
521	2641	2418
522	2645	2413
523	2649	2407
524	2655	2402
525	2660	2397
526	2665	2392
527	2671	2388
528	2678	2384
529	2682	2379
530	2687	2373
531	2699	2375
532	2705	2370
533	2711	2366
534	2716	2361
535	2722	2357
536	2728	2352
537	2732	2346
538	2738	2341
539	2742	2336
540	2747	2331
541	2752	2326
542	2757	2320
543	2761	2315
544	2768	2311
545	2773	2306
546	2778	2301
547	2784	2296
548	2789	2291
549	2794	2286
550	2798	2280
551	2803	2275
552	2808	2269
553	2812	2264
554	2817	2258
555	2822	2253
556	2827	2248
557	2832	2243
558	2838	2239
559	2845	2235
560	2851	2231
561	2855	2225
562	2860	2220
563	2864	2214
564	2869	2209
565	2874	2204
566	2880	2199
567	2885	2194
568	2890	2189
569	2897	2186
570	2902	2180
571	2906	2174
572	2911	2169
573	2915	2164
574	2920	2158
575	2924	2153
576	2929	2147
577	2935	2142
578	2941	2138
579	2947	2134
580	2952	2129
581	2957	2124
582	2963	2119
583	2967	2113
584	2971	2108
585	2976	2102
586	2980	2097
587	2985	2091
588	2990	2086
589	2995	2081
590	3002	2077
591	3007	2072
592	3013	2067
593	3018	2063
594	3023	2058
595	3028	2052
596	3033	2047
597	3038	2042
598	3043	2037
599	3049	2032
600	3055	2028
601	3060	2023
602	3066	2019
603	3071	2013
604	3076	2008
605	3080	2003
606	3085	1997
607	3089	1992
608	3095	1987
609	3100	1982
610	3105	1977
611	3111	1972
612	3116	1967
613	3121	1962
614	3127	1957
615	3132	1952
616	3137	1947
617	3142	1942
618	3148	1937
619	3152	1932
620	3157	1927
621	3168	1925
622	3174	1920
623	3179	1916
624	3185	1911
625	3191	1906
626	3195	1901
627	3200	1895
628	3205	1890
629	3209	1885
630	3216	1880
631	3222	1876
632	3228	1871
633	3233	1866
634	3239	1861
635	3243	1856
636	3247	1850
637	3252	1845
638	3258	1841
639	3263	1835
640	3268	1830
641	3273	1825
642	3278	1820
643	3283	1815
644	3289	1810
645	3294	1805
646	3299	1800
647	3304	1795
648	3309	1789
649	3314	1784
650	3320	1779
651	3324	1774
652	3329	1769
653	3334	1764
654	3340	1759
655	3345	1754
656	3352	1750
657	3358	1745
658	3363	1740
659	3368	1735
660	3373	1730
661	3378	1724
662	3383	1719
663	3389	1715
664	3394	1710
665	3399	1704
666	3403	1699
667	3409	1694
668	3414	1689
669	3419	1684
670	3426	1679
671	3433	1675
672	3439	1671
673	3446	1666
674	3456	1664
675	3462	1659
676	3470	1656
677	3478	1651
678	3485	1647
679	3491	1643
680	3497	1638
681	3502	1633
682	3508	1628
683	3516	1624
684	3523	1620
685	3530	1616
686	3536	1611
687	3541	1606
688	3547	1601
689	3553	1596
690	3559	1591
691	3565	1587
692	3571	1582
693	3577	1577
694	3581	1571
695	3586	1566
696	3590	1560
697	3595	1555
698	3600	1550
699	3603	1544
700	3609	1539
701	3613	1534
702	3618	1528
703	3624	1524
704	3630	1519
705	3636	1514
706	3642	1509
707	3647	1504
708	3651	1498
709	3656	1493
710	3662	1488
711	3667	1483
712	3672	1478
713	3677	1472
714	3683	1468
715	3689	1463
716	3695	1458
717	3700	1453
718	3706	1448
719	3711	1443
720	3715	1437
721	3720	1432
722	3725	1427
723	3730	1421
724	3735	1416
725	3740	1411
726	3746	1406
727	3750	1401
728	3755	1396
729	3760	1390
730	3765	1385
731	3770	1380
732	3775	1375
733	3780	1370
734	3784	1364
735	3790	1359
736	3796	1354
737	3801	1349
738	3806	1344
739	3812	1339
740	3816	1334
741	3821	1328
742	3826	1323
743	3830	1318
744	3835	1312
745	3840	1307
746	3844	1302
747	3849	1297
748	3856	1292
749	3862	1287
750	3867	1282
751	3874	1277
752	3880	1272
753	3885	1267
754	3890	1262
755	3894	1257
756	3901	1252
757	3906	1247
758	3912	1242
759	3918	1237
760	3923	1232
761	3928	1226
762	3933	1221
763	3937	1216
764	3942	1211
765	3948	1206
766	3953	1201
767	3959	1196
768	3965	1191
769	3972	1186
770	3978	1181
771	3984	1176
772	3991	1172
773	3996	1167
774	4002	1161
775	4007	1156
776	4012	1151
777	4018	1146
778	4024	1141
779	4030	1136
780	4036	1131
781	4041	1126
782	4047	1121
783	4052	1116
784	4057	1111
785	4062	1106
786	4068	1101
787	4074	1096
788	4081	1091
789	4087	1086
790	4095	1082
791	4100	1077
792	4106	1072
793	4111	1066
794	4116	1061
795	4122	1056
796	4127	1051
797	4134	1046
798	4139	1041
799	4145	1036
800	4151	1031
801	4157	1026
802	4163	1021
803	4167	1015
804	4172	1010
805	4177	1005
806	4182	1000
807	4186	994
808	4192	989
809	4198	984
810	4204	979
811	4209	974
812	4215	969
813	4219	964
814	4225	959
815	4229	953
816	4233	948
817	4238	943
818	4243	937
819	4249	932
820	4255	927
821	4261	922
822	4265	917
823	4271	912
824	4276	907
825	4280	901
826	4285	896
827	4290	891
828	4295	886
829	4301	881
830	4307	875
831	4312	870
832	4318	865
833	4323	860
834	4328	855
835	4333	850
836	4338	844
837	4342	839
838	4347	834
839	4353	829
840	4358	823
841	4363	818
842	4369	813
843	4374	808
844	4379	803
845	4385	798
846	4390	793
847	4395	787
848	4401	782
849	4406	777
850	4412	772
851	4418	767
852	4422	762
853	4428	757
854	4434	752
855	4439	746
856	4444	741
857	4448	736
858	4453	730
859	4457	725
860	4462	720
861	4467	715
862	4473	710
863	4478	705
864	4484	699
865	4489	694
866	4494	689
867	4500	684
868	4504	679
869	4509	673
870	4514	668
871	4519	663
872	4523	658
873	4528	652
874	4533	647
875	4539	642
876	4544	637
877	4549	632
878	4555	627
879	4560	621
880	4565	616
881	4570	611
882	4575	606
883	4581	601
884	4587	596
885	4593	591
886	4599	585
887	4604	580
888	4610	575
889	4614	570
890	4619	565
891	4624	559
892	4629	554
893	4633	549
894	4639	544
895	4644	539
896	4649	533
897	4655	528
898	4660	523
899	4666	518
900	4671	513
901	4676	508
902	4680	502
903	4684	497
904	4690	492
905	4694	487
906	4699	481
907	4705	476
908	4711	471
909	4717	466
910	4723	461
911	4728	456
912	4733	451
913	4738	445
914	4743	440
915	4748	435
916	4753	430
917	4759	425
918	4765	420
919	4771	414
920	4775	409
921	4780	404
922	4785	399
923	4790	393
924	4794	388
925	4799	383
926	4804	378
927	4810	373
928	4817	368
929	4823	363
930	4829	357
931	4834	352
932	4839	347
933	4843	342
934	4848	337
935	4852	331
936	4857	326
937	4862	321
938	4866	316
939	4871	310
940	4877	305
941	4883	300
942	4889	295
943	4895	290
944	4900	285
945	4905	279
946	4910	274
947	4914	269
948	4920	264
949	4927	259
950	4933	254
951	4938	249
952	4944	243
953	4949	238
954	4953	233
955	4958	228
956	4962	222
957	4968	217
958	4975	212
959	4982	207
960	4990	202
961	4997	197
962	5004	192
963	5010	187
964	5018	182
965	5025	176
966	5032	171
967	5038	166
968	5048	161
969	5054	156
970	5059	151
971	5066	145
972	5073	140
973	5079	135
974	5084	130
975	5089	125
976	5095	119
977	5100	114
978	5106	109
979	5112	104
980	5119	99
981	5124	93
982	5130	88
983	5135	83
984	5140	78
985	5145	73
986	5151	67
987	5155	62
988	5161	57
989	5167	52
990	5172	46
991	5178	41
992	5183	36
993	5187	31
994	5192	26
995	5197	20
996	5202	15
997	5206	10
998	5211	5
999	5217	0
